protocol,carrier,num_tcp_conn,server_location,run_num,seq_num,throughput_mbps
0,1,8,1,71,25,0.2505807118493698
0,1,8,1,71,26,0.25793932463290903
0,1,8,1,71,27,0.26243955776890154
0,1,8,1,71,28,0.26927939966875025
0,1,8,1,71,29,0.2645836135029735
0,1,8,1,71,30,0.22895653051127263
0,1,8,1,71,31,0.259487950016525
0,1,8,1,71,32,0.2696545133473023
0,1,8,1,71,33,0.25948533615700203
0,1,8,1,71,34,0.2696671788325351
0,1,8,1,71,35,0.24931892162396013
0,1,8,1,71,36,0.2641778348077921
0,1,8,1,71,37,0.25986553234113086
0,1,8,1,71,38,0.2594848412309509
0,1,8,1,71,39,0.2493179259362024
0,1,8,1,71,40,0.2594822429001567
0,1,8,1,71,41,0.2747590874554699
0,1,8,1,71,42,0.24930171369190654
0,1,8,1,71,43,0.26457833033549916
0,1,8,1,71,44,0.24930620119651448
0,1,8,1,71,45,0.2594819645106579
0,1,8,1,71,46,0.2645780622400881
0,1,8,1,71,47,0.24931369063684242
0,1,8,1,71,48,0.24421636901108357
0,1,8,1,71,49,0.25948898629493655
0,1,8,1,71,50,0.23913857664625046
0,1,8,1,71,51,0.2593276740303367
0,1,8,1,71,52,0.2494638715632984
0,1,8,1,71,53,0.2594811912096289
0,1,8,1,71,54,0.2544037570945445
0,1,8,1,71,55,0.24930073300048947
0,1,8,1,71,56,0.25950377349751613
0,1,8,1,71,57,0.2543933247153225
0,1,8,1,71,58,0.2594809437542731
0,1,8,1,71,59,0.24422810176354173
0,1,8,1,71,60,0.42502924047895113
0,1,8,1,72,0,0.04744224447497649
0,1,8,1,72,1,0.12310777065624166
0,1,8,1,72,2,0.1752126103037415
0,1,8,1,72,3,0.2688377791154771
0,1,8,1,72,4,0.36359341809983886
0,1,8,1,72,5,0.4449308159388803
0,1,8,1,72,6,0.49853121653313265
0,1,8,1,72,7,0.46811652947633886
0,1,8,1,72,8,0.4630032468683762
0,1,8,1,72,9,0.46300788321621306
0,1,8,1,72,10,0.47301742207227465
0,1,8,1,72,11,0.4682569810928775
0,1,8,1,72,12,0.48336183721605824
0,1,8,1,72,13,0.4680888510230057
0,1,8,1,72,14,0.4426524056224074
0,1,8,1,72,15,0.4528259478309484
0,1,8,1,72,16,0.46300843516856915
0,1,8,1,72,17,0.43753200479795434
0,1,8,1,72,18,0.468128137543851
0,1,8,1,72,19,0.46300424036366744
0,1,8,1,72,20,0.4680898554257699
0,1,8,1,72,21,0.4579234873774437
0,1,8,1,72,22,0.4223056051466614
